Table,PrimaryKey,ForeignKey,Name,Description,Type (value set),Availability,Completeness
Person,0,,RaceConceptId,Truveta code signifying the race of the patient in alignment with the US Office of Management and Budget (OMB). Note that each person may have multiple person race records.,integer[] (Race),Prose,75%
Person,0,,PreferredLanguageConceptId,Truveta concept identifier for the recorded preferred language.,integer (Language),TDM,n/a
Person,0,,ReligionConceptId,Truveta concept identifier for the recorded religion.,integer (Religion),Prose+TDM,<1%
Person,0,,BirthDateTime,The date or date and time of birth.,DateTime,Prose+TDM,100%
Person,0,,IsExpired,Whether the person is deceased.,boolean,Prose+TDM,100%
Person,0,,GenderIdentityConceptId,"Truveta concept identifier for a patient-reported field capturing an individual's personal sense of their gender, which can range from traditional categories like man or woman to nonbinary or other culturally specific identities, allowing for multiple identities and accommodating local terminology extensions.",integer (Gender Identity),TDM,n/a
Person,0,,SexAssignedAtBirthConceptId,Truveta concept identifier for the sex that was documented on the birth certificate.,integer (Sex Assigned At Birth),TDM,n/a
PersonDeathFact,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
PersonDeathFact,0,Person,PersonId,Foreign Key reference to person,UniqueIdentifier,TDM,n/a
PersonDeathFact,0,,DeceasedDataSourceConceptId,Truveta concept identifier for the source of data for this death event.,integer (Deceased Data Source),Prose+TDM,100%
PersonDeathFact,0,,DeathDateTime,The date and time of death.,DateTime,Prose+TDM,100%
PersonDeathFact,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,100%
PersonDeathFact,0,,DeathVerifiedProofCodeConceptId,Truveta concept identifier for the verification proof for this death event.,integer (Death Verified Proof Code),Prose+TDM,100%
PersonDeathFact,0,,ConfidenceScore,A score ranging from 80-100 which that indicates the deceased information match quality for the submitted individual.,string,Prose+TDM,100%
PersonDeathFact,0,,SourceConceptId,Source Concept Id,integer (Source),Prose+TDM,100%
PersonEPCTlink,1,,PersonId,System generated key for Person.,UniqueIdentifier,TDM,n/a
PersonEPCTlink,0,,EPCT,EPCT token used for linking patients,string,TDM,n/a
PersonLocation,1,,Id,Primary key for the person location record,UniqueIdentifier,Prose+TDM,100%
PersonLocation,0,Person,PersonId,Foreign key reference to the person record,UniqueIdentifier,TDM,n/a
PersonLocation,0,,UseConceptId,"The category representing the location association with the patient, e.g whether this is an individual's home",integer (Address Use),TDM,n/a
PersonLocation,0,,StateOrProvinceConceptId,Name of State or Province for the location,integer (State Or Province),Prose,83%
PersonLocation,0,Location,LocationId,Foreign key reference to location record,UniqueIdentifier,TDM,n/a
PersonLocation,0,,EffectiveStartDateTime,Effective starting date of the person location,DateTime,TDM,n/a
PersonLocation,0,,EffectiveDateTime,Effective starting date of the person location,DateTime,Prose,100%
PersonRace,1,,Id,System generated key for Person Race.,UniqueIdentifier,TDM,n/a
PersonRace,0,Person,PersonId,Foreign key reference to person record,UniqueIdentifier,TDM,n/a
PersonRace,0,,RaceConceptId,Truveta code signifying the race of the patient in alignment with the US Office of Management and Budget (OMB). Note that each person may have multiple person race records.,integer (Race),TDM,n/a
PersonRelationship,1,,Id,System generated key Person Relationship.,UniqueIdentifier,TDM,n/a
PersonRelationship,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
PersonRelationship,0,Patient,PatientId,System generated key for Patient.,UniqueIdentifier,TDM,n/a
PersonRelationship,0,Patient,RelatedPatientId,System generated key for Patient that is associated to the primary Patient.,UniqueIdentifier,TDM,n/a
PersonRelationship,0,,RecordedStartDateTime,Datetime when the person relationship was noted on patient timeline,DateTime,TDM,n/a
PersonRelationship,0,,RelationshipTypeConceptId,Truveta concept identifier for the type of relationship that associates two persons.,integer (Person Relationship Type),TDM,n/a
PersonRelationship,0,Person,RelatedPersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
PersonTag,1,,Id,Unique identifier auto generated by system,UniqueIdentifier,TDM,n/a
PersonTag,0,Person,PersonId,Foreign key reference to Person with tag,UniqueIdentifier,TDM,n/a
PersonTag,0,,Tag,Tag,string,TDM,n/a
Practitioner,1,,Id,The unique identifier generated by Truveta.,UniqueIdentifier,TDM,n/a
Practitioner,0,,GenderConceptId,Truveta concept identifier for the recorded gender of the practitioner.,integer (Gender),TDM,n/a
PractitionerQualification,1,,Id,System generated key for Practitioner Qualification.,UniqueIdentifier,TDM,n/a
PractitionerQualification,0,Practitioner,PractitionerId,System generated key for Practitioner.,UniqueIdentifier,TDM,n/a
PractitionerQualification,0,,QualificationConceptId,Truveta concept identifier for the qualification of the Provider.,integer (Provider Taxonomy),TDM,n/a
Procedure,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Procedure,0,Person,PersonId,Foreign key reference linking the procedure to Person,UniqueIdentifier,TDM,n/a
Procedure,0,Patient,PatientId,Foreign Key reference to patient,UniqueIdentifier,TDM,n/a
Procedure,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,100%
Procedure,0,,StartDateTime,The date and time that the procedure started.,DateTime,Prose+TDM,98%
Procedure,0,,EndDateTime,The date and time that the procedure ended.,DateTime,Prose+TDM,<1%
Procedure,0,,CategoryConceptId,"Truveta concept identifier for the intent of the procedure that is performed, such as 'diagnostic', 'therapeutic', 'screening', etc.",integer[] (Procedure Category),Prose+TDM,<1%
Procedure,0,,StatusConceptId,"Truveta concept identifier for the status of the procedure, such as 'in progress', 'on hold', and 'completed'.",integer (Procedure Status),Prose+TDM,2%
Procedure,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,10%
Procedure,0,ServiceRequest,ServiceRequestId,The id of the service request that initiated the procedure.,UniqueIdentifier,Prose+TDM,32%
Procedure,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
Procedure,0,,BodySiteConceptId,Truveta concept identifier that indicates the site on the subject's body where the procedure was performed.,integer (Body Site),Prose+TDM,<1%
Procedure,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,4%
Procedure,0,ProcedureCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
Procedure,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
Procedure,0,BodySiteMap,BodySiteMapId,"Normalization Id for the location of the procedure, such as 'left arm', etc.",long,TDM,n/a
ProcedureCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with Procedure",long,TDM,n/a
ProcedureCodeConceptMap,0,,CodeConceptId,Truveta code for the Procedure concept,integer,TDM,n/a
ProcedureCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ProcedureCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with Procedure",long,TDM,n/a
ProcedureCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the Procedure concept,integer,TDM,n/a
ProcedureCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
ProcedureCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
ProcedureCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ServiceRequest,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
ServiceRequest,0,Person,PersonId,Foreign key reference linking the condition to Person.,UniqueIdentifier,TDM,n/a
ServiceRequest,0,Patient,PatientId,Foreign key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
ServiceRequest,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,99%
ServiceRequest,0,,OccurrenceStartDateTime,The date and time that the service is requested to occur.,DateTime,Prose+TDM,64%
ServiceRequest,0,,OccurrenceEndDateTime,The date and time that the service is requested to end.,DateTime,Prose+TDM,38%
ServiceRequest,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,98%
ServiceRequest,0,Practitioner,RequesterPractitionerId,The id of the practitioner who is created the ServiceRequest.,UniqueIdentifier,TDM,n/a
ServiceRequest,0,,CategoryConceptId,"Truveta concept identifier for the classification of the ServiceRequest, such as 'laboratory procedure', 'surgical procedure', 'consultation', etc.",integer (Service Request Category),Prose+TDM,93%
ServiceRequest,0,,StatusConceptId,"Truveta concept identifier for the state of the ServiceRequest as it pertains to a workflow. Typical values include 'draft', 'active', 'completed', etc.",integer (Procedure Request Status),Prose+TDM,97%
ServiceRequest,0,,PriorityConceptId,"Truveta concept identifier for the priority of the order. Typical values include ""stat"", ""urgent"", ""routine"", etc.",integer (Procedure Request Priority),Prose+TDM,83%
ServiceRequest,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
ServiceRequest,0,,AuthoredOnDateTime,The date and time that the ServiceRequest was signed.,DateTime,Prose+TDM,96%
ServiceRequest,0,ServiceRequestCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
ServiceRequest,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,66%
ServiceRequest,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,<1%
ServiceRequestCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with ServiceRequest",long,TDM,n/a
ServiceRequestCodeConceptMap,0,,CodeConceptId,Truveta code for the ServiceRequest concept,integer,TDM,n/a
ServiceRequestCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ServiceRequestCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with ServiceRequest",long,TDM,n/a
ServiceRequestCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the ServiceRequest concept,integer,TDM,n/a
ServiceRequestCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
ServiceRequestCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
ServiceRequestCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
SocialDeterminantsOfHealth,1,,Id,System generated key for social determinants of health.,UniqueIdentifier,TDM,n/a
SocialDeterminantsOfHealth,0,Person,PersonId,Incoming identifier to align Lexus Nexus with Healthcare Patients.,UniqueIdentifier,TDM,n/a
SocialDeterminantsOfHealth,0,,AttributeConceptId,SDOH Attribute Concept Id,integer (SDOH Attribute),TDM,n/a
SocialDeterminantsOfHealth,0,,NormalizedValueNumeric,Normalized values of numeric type are persisted in this field.,decimal,TDM,n/a
SocialDeterminantsOfHealth,0,,NormalizedValueConceptId,Concept Id associated to the Truveta normalized value.,integer,TDM,n/a
SocialDeterminantsOfHealth,0,,RecordedDateTime,DateTime when social determinant of health attribute was processed/recorded by Truveta.,DateTime,TDM,n/a
SocialDeterminantsOfHealth,0,,EffectiveStartDateTime,DateTime when social determinant of health attribute was recorded by Lexis Nexis,DateTime,TDM,n/a
SocialDeterminantsOfHealth,0,,SourceConceptId,Source Concept Id,integer (Source),TDM,n/a
TemporalOrder,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
TemporalOrder,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
TemporalOrder,0,,EventId,The id of the event that the order pertains.,UniqueIdentifier,TDM,n/a
TemporalOrder,0,,EventTypeConceptId,"The type of event that the order pertains, such as ""Condition"", ""Observation"", or ""MedicationRequest"".",integer (Event Type),TDM,n/a
TemporalOrder,0,,Ordinal,The position of the identified event in the group of events.,short,TDM,n/a
TemporalOrder,0,,RecordedDateTime,"The date and time that the ordering information was recorded, often populated by the date and time the note was written.",DateTime,TDM,n/a
TemporalOrder,0,,OrderGroup,The id of the group of events that is sequenced.,UniqueIdentifier,TDM,n/a
